"الترتيب
","الرواية
","المؤلف
","البلد
"
"1
","الثلاثية
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AB%D9%84%D8%A7%D8%AB%D9%8A%D8%A9_(%D9%86%D8%AC%D9%8A%D8%A8_%D9%85%D8%AD%D9%81%D9%88%D8%B8)"")","نجيب محفوظ
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%86%D8%AC%D9%8A%D8%A8_%D9%85%D8%AD%D9%81%D9%88%D8%B8"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"2
","البحث عن وليد مسعود
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%AB_%D8%B9%D9%86_%D9%88%D9%84%D9%8A%D8%AF_%D9%85%D8%B3%D8%B9%D9%88%D8%AF_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","جبرا إبراهيم جبرا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AC%D8%A8%D8%B1%D8%A7_%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85_%D8%AC%D8%A8%D8%B1%D8%A7"")"," فلسطين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%A9_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86"")"
"3
","شرف
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B4%D8%B1%D9%81_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","صنع الله إبراهيم
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B5%D9%86%D8%B9_%D8%A7%D9%84%D9%84%D9%87_%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"4
","الحرب في بر مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AD%D8%B1%D8%A8_%D9%81%D9%8A_%D8%A8%D8%B1_%D9%85%D8%B5%D8%B1"")","يوسف القعيد
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%8A%D9%88%D8%B3%D9%81_%D8%A7%D9%84%D9%82%D8%B9%D9%8A%D8%AF"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"5
","رجال في الشمس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B1%D8%AC%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%B4%D9%85%D8%B3_(%D8%B1%D9%88%D8%A7%D9%8A%D8%A9)"")","غسان كنفاني
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%BA%D8%B3%D8%A7%D9%86_%D9%83%D9%86%D9%81%D8%A7%D9%86%D9%8A"")"," فلسطين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%A9_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86"")"
"6
","الوقائع الغريبة في اختفاء سعيد ابي النحس المتشائل
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%88%D9%82%D8%A7%D8%A6%D8%B9_%D8%A7%D9%84%D8%BA%D8%B1%D9%8A%D8%A8%D8%A9_%D9%81%D9%8A_%D8%A7%D8%AE%D8%AA%D9%81%D8%A7%D8%A1_%D8%B3%D8%B9%D9%8A%D8%AF_%D8%A3%D8%A8%D9%8A_%D8%A7%D9%84%D9%86%D8%AD%D8%B3_%D8%A7%D9%84%D9%85%D8%AA%D8%B4%D8%A7%D8%A6%D9%84"")","إميل حبيبي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D9%85%D9%8A%D9%84_%D8%AD%D8%A8%D9%8A%D8%A8%D9%8A"")"," فلسطين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AF%D9%88%D9%84%D8%A9_%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86"")"
"7
","الزمن الموحش
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B2%D9%85%D9%86_%D8%A7%D9%84%D9%85%D9%88%D8%AD%D8%B4"")","حيدر حيدر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AD%D9%8A%D8%AF%D8%B1_%D8%AD%D9%8A%D8%AF%D8%B1"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
"8
","رامة والتنين
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B1%D8%A7%D9%85%D8%A9_%D9%88%D8%A7%D9%84%D8%AA%D9%86%D9%8A%D9%86"")","إدوار الخراط
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%A5%D8%AF%D9%88%D8%A7%D8%B1_%D8%AE%D8%B1%D8%A7%D8%B7"")"," مصر
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%B5%D8%B1"")"
"9
","حدث أبو هريرة قال
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AD%D8%AF%D8%AB_%D8%A3%D8%A8%D9%88_%D9%87%D8%B1%D9%8A%D8%B1%D8%A9_%D9%82%D8%A7%D9%84"")","محمود المسعدي
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%85%D8%AD%D9%85%D9%88%D8%AF_%D8%A7%D9%84%D9%85%D8%B3%D8%B9%D8%AF%D9%8A"")"," تونس
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%AA%D9%88%D9%86%D8%B3"")"
"10
","كوابيس بيروت
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D9%83%D9%88%D8%A7%D8%A8%D9%8A%D8%B3_%D8%A8%D9%8A%D8%B1%D9%88%D8%AA"")","غادة السمان
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%BA%D8%A7%D8%AF%D8%A9_%D8%A7%D9%84%D8%B3%D9%85%D8%A7%D9%86"")"," سوريا
 =HYPERLINK(""https://ar.wikipedia.org/wiki/%D8%B3%D9%88%D8%B1%D9%8A%D8%A7"")"
